en,es
She bowed deeply to me.,Ella se inclinó marcadamente ante mí.
Just a minute.,Un minuto.
Did they say how?,¿Dijeron cómo?
I'll call later.,Llamaré más tarde.
It was surprising that she said that.,Me sorprendió que dijese eso.
"Two tickets to San Diego, please.","Dos pasajes a San Diego, por favor."
Will you leave this with me for a while?,¿Puedes dejar esto conmigo por un rato?
Do you have a chain saw I could borrow?,¿Tenés una motosierra para prestarme?
Didn't you lock up your car?,¿No cerraste el coche?
That is why she didn't join them.,Es por eso que ella no se les unió.
Tom is a fire eater.,Tom es tragafuegos.
I feel helpless.,Me siento impotente.
I haven't eaten for days.,No he comido en varios días.
That's not quite what I was thinking.,Eso no es en lo que estaba pensando.
I'm going to buy some currant juice.,Voy a comprar un jugo de grosella.
A few minutes is all I ask.,Tan solo pido unos minutos.
"Since Tom is a bartender, he uses an ice pick every day at work.","Desde que Tom es cantinero, todos los días utiliza un pica hielo en el trabajo."
"If he had studied harder, he would have passed the exam.","Si hubiera estudiado más, habría aprobado el examen."
I've never done it like that before.,Nunca lo había hecho de esa forma.
Tom told Mary not to swim alone.,Tom le dijo a Mary que no nadara sola.
Things seem to be getting worse and worse.,Las cosas parecen ir de mal en peor.
Tom felt like a fish out of water.,Tom se sentía como un pez fuera del agua.
She was now out of danger.,Entonces se encontró fuera de peligro.
She watched him draw a picture.,Ella lo miraba pintar una pintura.
I refuse.,Me niego.
You seem to know all the answers.,Parecéis conocer todas las respuestas.
There is no link between these two.,No hay relación entre esos dos.
It's getting hotter.,Está haciendo más calor.
"My bicycle had a flat tire, so I missed the seven o'clock train.",Perdí el tren de las siete porque mi bicicleta tenía una rueda pinchada.
We got behind the car and pushed.,Nos situamos detrás del coche y empujamos.
Tom is angry at Mary.,Tom está enfadado con Mary.
Everybody wants permanent peace.,Todos desean la paz eterna.
Can you answer this question?,¿Puede responder a esta pregunta?
I have to go to the bank now.,Ahora tengo que ir al banco.
"Hey everyone, please listen.","Oigan todos, por favor escuchen."
I'm looking forward to seeing you as well.,Además me alegro por nuestro encuentro.
A stranger is just a friend you haven’t met yet.,Un extraño solo es un amigo que todavía no has conocido.
When will it begin?,¿Cuándo empieza?
Tom doesn't know what Mary's shoe size is.,Tom no sabe cuánto calza Mary.
I'd like to be a millionaire.,Yo quisiera ser millonario.
"As far as I know, he is honest and reliable.","Hasta donde yo sé, es honesto y se puede confiar en él."
I spent 100 dollars today.,Hoy gasté cien dólares.
She interrupted him while he was speaking.,Ella lo interrumpió mientras hablaba.
She came home for the first time in five years.,Ella regresó a casa por primera vez en cinco años.
She spoke Japanese well.,Hablaba bien japonés.
There is no knowing what will happen.,No se puede saber qué pasará.
Were you sleeping?,¿Estabas durmiendo?
He was sure that he would make a new discovery some day.,Él estaba seguro de que algún día haría un nuevo descubrimiento.
Tom could hear voices in the next room.,Tom podía oír voces en la habitación contigua.
Tom is not in his bedroom.,Tom no está en su habitación.
She is very pretty.,Ella es muy guapa.
I like French.,Me gusta el francés.
I don't know whether to cry or to laugh.,No sé si reír o llorar.
Tom studied French for three hours last night.,Anoche Tom estuvo estudiando francés durante tres horas.
I was caught in traffic.,Quedé atascado en el tráfico.
The letter was written in code.,La carta estaba escrita en cifra.
He used to live here.,Solía vivir aquí.
He often skips meetings.,Él suele saltarse las reuniones.
Will it hurt a lot?,¿Va a doler mucho?
This bird can imitate the human voice.,Este pájaro puede imitar la voz humana.
This is going to be easy.,Esto va a ser fácil.
We couldn't find the problem.,No pudimos encontrar el problema.
Today I don't feel like doing anything.,Hoy no tengo ganas de hacer nada.
"Generally speaking, Americans are very fond of coffee.",En general a los estadounidenses les gusta mucho el café.
They must die.,Deben morir.
This is my mother.,Ésta es mi madre.
Tom should've asked Mary for help.,Tom debería haberle pedido ayuda a Mary.
He told me everything.,Él me lo contó todo.
Some fish fly.,Algunos peces vuelan.
Stay on this side of the yellow line.,Permanezca a este lado de la línea amarilla.
You get more and more beautiful every day.,Estás más y más bonita cada día.
That man has a very good build.,Ese hombre tiene muy buena figura.
My parents got divorced.,Mis padres se divorciaron.
There's nothing there.,No hay nada ahí.
Mary makes more money than her husband.,Mary gana más dinero que su marido.
My grandmother lives by herself.,Mi abuela vive por sí sola.
Tom told me just the opposite.,Tomás me dijo completamente lo contrario.
We were running a little late.,Llevábamos un poco de retraso.
Can this get any worse?,¿Se podría poner peor?
He swam across the river.,Él nadó a través del río.
I wish I had been kind to her then.,Desearía haber sido amable con ella entonces.
I want you to sing a song.,Quiero que cantes una canción.
Tom put an engagement ring on Mary's finger.,Tom puso un anillo de compromiso en el dedo de María.
Do you want a few more minutes?,¿Quieres unos minutos más?
I don't know why you're all so angry.,No sé por qué están todos ustedes tan enojados.
I am terribly hungry.,¡Me muero de hambre!
Tom doesn't like it when people park in front of his house.,A Tom no le gusta cuando la gente estaciona enfrente de su casa.
They know what we did.,Ellos saben lo que hicimos.
She will get well soon.,Ella se mejorará pronto.
We will run short of oil some day.,Algún día se nos agotará el petróleo.
We have an elevator and a private bathroom.,Tenemos un elevador y un baño privado.
We know the fact that she was born in Canada.,Sabemos el hecho de que ella nació en Canadá.
What do you call this flower?,¿Cómo se llama esta flor?
Give me what you have in your hand.,Dame lo que tengas en la mano.
"If you happen to hear of anybody that wants to buy a house, please let me know.","Si por casualidad oyes de alguien que quiera comprar una casa, por favor avísame."
The politician proposed reforms to Congress.,El político propuso reformas al congreso.
Tom is also studying French.,Tom también está estudiando francés.
I don't believe in fate.,No creo en el destino.
They never stopped.,No se pararon nunca.
I asked him about the accident.,Le pregunté sobre el accidente.
I want to see if Tom is in town.,Quiero ver si Tom está en la ciudad.
Some of the girls laughed.,Algunas de las niñas se rieron.
Where did you stay?,¿En dónde te quedaste?
Tom helped himself.,Tom se ayudó a sí mismo.
The thief was apprehended this morning.,Atraparon al ladrón esta mañana.
Draw a picture of yourself.,Haz un dibujo de ti mismo.
This clock isn't working.,Este reloj no funciona.
I do not fear death.,Yo no le temo a la muerte.
He's a true legend.,Él es una verdadera leyenda.
You can do it however you like.,Puedes hacerlo como quieras.
Don't disappoint me.,No me decepciones.
There was peace all over the world.,Había paz por todo el mundo.
Did you study yesterday?,¿Estudiaste ayer?
Something happened in Boston.,Algo ocurrió en Boston.
He traveled all over Europe.,Él viajó por toda Europa.
How do you make a box?,¿Cómo haces una caja?
Tom was convicted and sentenced to death.,Tom fue declarado culpable y sentenciado a muerte.
Can you give me a discount?,¿Me puede hacer un descuento?
Why are there stars in the sky?,¿Por qué hay estrellas en el cielo?
Mary and I are engaged.,Mary y yo estamos prometidos.
I believe he'll be with us today.,Creo que hoy estará con nosotros.
There used to be a church here.,Aquí solía haber una iglesia.
The workman died from the explosion.,El trabajador murió a causa de la explosión.
They invited me to the party.,Ellos me invitaron a la fiesta.
Do you know where I can find Tom?,¿Sabés dónde lo puedo encontrar a Tomás?
Tom kicked the stool out from under Mary.,Tom sacó el taburete situado bajo Mary.
It's been five years since I last saw you.,Han sido cinco años desde la última vez que te vi.
The girl has a soft heart.,La niña tiene un corazón blando.
Father bought me a camera.,Mi padre me ha comprado una cámara.
We're still checking.,Todavía estamos mirando.
I don't cry easily.,No lloro con facilidad.
He is looking forward to it.,Él lo espera impaciente.
She studies mathematics.,Ella estudia matemáticas.
He sang some old songs.,Él cantó algunas viejas canciones.
Tom didn't mean to hurt anybody.,Tom no quería herir a nadie.
Mind your own business!,¡Metete en tus cosas!
I haven't seen Tom since 1988.,No he visto más a Tom desde 1988.
I promise that this discussion will be the last of its kind.,Prometo que este tipo de discusión no se repetirá más.
Mary is going to help us tomorrow.,Marie nos ayudará mañana.
You must clean your room.,Debes limpiar tu habitación.
It was a horrible scene.,Fue una escena horrorosa.
It's the smart thing to do.,Es lo más inteligente para hacer.
My grandfather on my mother's side is celebrating his 60th birthday tomorrow.,Mi abuelo por parte de madre celebra mañana su 60º cumpleaños.
We managed to get it back without her knowing.,Conseguimos recuperarlo sin que ella lo supiera.
He is no longer here.,Él ya no está aquí.
It's too dangerous for you to stay here.,Es demasiado peligroso que te quedes aquí.
Why are you still in Boston?,¿Por qué estás todavía en Boston?
The dog looked into the water.,El perro miró al agua.
Don't you feel anything?,¿No sientes nada?
She denied having met him even though we saw them talking to each other.,Ella negó haberse encontrado con él aunque les vimos hablando.
Keep your hands up.,Mantén los brazos en alto.
I think Tom was trying to tell us something.,Creo que Tom estaba intentando decirnos algo.
"He was paid 10,000 dollars.",Le pagaron 10.000 dólares.
Tom jumped.,Tom saltó.
I never said no.,Nunca dije que no.
The prices here are very reasonable.,Los precios aquí son muy razonables.
I think that watching TV is a waste of time.,Pienso que mirar TV es una pérdida de tiempo.
Is it you?,¿Eres tú?
"There's nothing to worry about, OK?","No hay nada por lo que preocuparse, ¿vale?"
What time did you go to bed last night?,¿A qué hora te fuiste a dormir ayer por la noche?
Give me a toothpick.,Dame un palillo.
I would often take naps on Sundays.,Solía echarme una siesta los domingos.
It tasted sweet.,Sabía dulce.
I just wish I could figure out what to give Tom for Christmas.,Sólo desearía saber qué puedo regalar a Tom por Navidad.
I should learn French.,Debería aprender francés.
Tom was disguised as a janitor.,Tom estaba disfrazado de portero.
That's the hotel.,Ese es el hotel.
The evidence convinced us of his innocence.,La evidencia nos convenció de su inocencia.
The whistle blew.,Se destapó el asunto.
"That doesn't work, does it?","Eso no funciona, ¿verdad?"
Tom told me that he would rather not go.,Tom me dijo que mejor no iba a ir.
You'll forget about me someday.,Me olvidarás algún día.
Tell Tom to write me.,Dile a Tom que me escriba.
My computer has frozen.,Mi computador se ha congelado.
Spain is the host country for the Olympics in 1992.,España fue la sede de las Olimpiadas de 1992.
My father encouraged me to study the piano.,Mi padre me sugirió aprender piano.
The penguin was expelled from the group.,El pingüino fue expulsado del grupo.
Tom knew that the story wasn't true.,Tom sabía que la historia no era verdadera.
You know what I need.,Tú sabes lo que necesito.
She walked up to him and asked him what his name was.,Ella se acercó a él y le preguntó cómo se llamaba.
We had a wonderful holiday.,Tuvimos unas vacaciones maravillosas.
Will you help me with my French homework?,¿Me vas a ayudar con la tarea de francés?
Don't ever mention his name again.,Ni siquiera lo nombres otra vez.
Switch on the light. I can't see anything.,Enciende la luz. No veo nada.
She wanted my permission to use the telephone.,Ella quería mi permiso para usar el teléfono.
The phone kept ringing.,El teléfono seguía sonando.
Someone is standing behind the wall.,Hay alguien parado detrás de la pared.
Tom couldn't speak French well.,Tom no podía hablar bien francés.
The food in this hotel is very good.,La comida es muy buena en este hotel.
I waited for her to speak.,Esperé a que ella hablara.
The tall man left in a hurry.,El alto hombre partió apresuradamente.
Is there a letter for me?,¿Hay una carta para mí?
Tom's dream is to live in the mountains.,El sueño de Tom es vivir en las montañas.
I feel happiest when I am in school.,En el colegio es donde me siento más feliz.
She is less intelligent than you.,Ella no es tan inteligente como tú.
Tom is biting his nails.,Tomás se está comiendo las uñas.
My cat is really smart.,Mi gato es verdaderamente inteligente.
I have a ton of things to do.,Tengo muchas cosas por hacer.
I think Tom knows why.,Creo que Tom sabe el por qué.
I have a friend whose wife is a pianist.,Tengo un amigo cuya mujer es pianista.
I rang the bell.,Soné la campanilla.
I can't understand what you said at all.,No puedo entender nada de lo que dices.
Mali is one of the poorest countries in Subsaharan Africa.,Mali es uno de los países más pobres de África subsahariana.
The government's investment will create many jobs.,La inversión del gobierno creará muchos empleos.
Tom and Mary look good together.,Tom y Mary se ven bien juntos.
I felt very lonely.,Me sentí muy solo.
I should never have done it.,Yo no debería haberlo hecho nunca.
That dress matches her red hair.,Ese vestido combina con su cabello pelirrojo.
I have no time to help you with the work.,No tengo tiempo para ayudarte con el trabajo.
I'm short of cash at the moment.,Ahora mismo ando escaso de fondos.
The mountain is green.,La montaña es verde.
The children got lost in the woods.,Los niños se perdieron en el bosque.
"Frankly, I didn't have the confidence to ask Mary to have lunch with me.","Francamente, no tuve suficiente confianza para invitar a María a almorzar conmigo."
Tom's novel has been translated into French.,La novela de Tom se ha traducido al francés.
Tom doesn't know how Mary will get to school tomorrow.,Tom no sabe cómo va a ir María al colegio mañana.
"When I got home, I realized that one of my suitcases had disappeared.",Cuando llegué a casa me di cuenta de que una de mis maletas había desaparecido.
I can't stand that noise.,No puedo soportar ese ruido.
Tom spent a few years in Boston when he was in college.,Tom pasó algunos años en Boston cuando estaba en la universidad.
I own this car.,Tengo este auto.
I wish I had a reason not to stay.,Desearía tener razones para no quedarme.
Tom can't run as fast as Mary.,Tom no puede correr tan rápido como Mary.
Let's give Tom a big hand.,Tendámosle una mano a Tom.
Roll up your right sleeve.,Súbete tu manga izquierda.
Tom should've called.,Tom debió haber llamado.
Tom is an outstanding actor.,Tom es un actor excepcional.
Have you told me everything?,¿Me lo has contado todo?
I barely feel the pain anymore.,Ya casi ni siento el dolor.
We should sometimes pause to think.,A veces nos debemos detener a pensar.
He who sleeps with dogs wakes up with fleas.,"El que con perros se acuesta, con pulgas se levanta."
Tom isn't in very good shape.,Tom no está en muy buena forma.
"May I see your passport, please?","¿Puedo ver su pasaporte, por favor?"
I need water.,Yo necesito agua.
Tom laughed.,Tom se rio.
Tom is waiting to see how things will develop.,Tom está esperando para ver cómo se desarrollarán las cosas.
I wish I had bought a concert ticket.,Ojalá hubiera comprado un billete para el concierto.
He does not even know how to sign his name.,Él ni siquiera sabe como firmar con su nombre.
I think it's a shame that some foreign language teachers were able to graduate from college without ever having studied with a native speaker.,Creo que es una vergüenza que algunos profesores de lengua extranjera hayan podido graduarse de la universidad sin nunca haber estudiado con un hablante nativo.
Can I tell you something?,¿Puedo decirte algo?
Some people say that eating late at night is bad for your health.,Algunas personas dicen que comer tarde por la noche es malo para la salud.
We heard gunfire.,Escuchamos disparos.
"In those days, I was still a student.",En aquellos tiempos yo todavía era un estudiante.
Do I need to explain it to you again?,¿Te lo tengo que explicar de nuevo?
The interview began at 10 o'clock.,La entrevista comenzó a las 10.
Let's give Tom a big hand.,Ayudemos a Tom.
These are decisions I want to make alone.,Estas son decisiones que quiero tomar yo solo.
That water pipe leaks.,Esa cañería gotea.
I was a healthy child.,Yo era una niña saludable.
I don't recommend eating in that restaurant. The food is awful.,No recomiendo comer en aquel restaurante. La comida es repugnante.
Tom is responding well to the new treatment.,Tom está respondiendo bien al tratamiento nuevo.
Tom falsified the reports.,Tom falsificó los reportes.
I thought you'd be older.,Creía que eras mayor.
The doctor told Tom to lower the amount of red meat that he ate.,El doctor le dijo a Tom que disminuyera la cantidad de carne roja que comía.
It was cold yesterday.,Ayer hacía frío.
Her clothes are the best advertisement for her dressmaker.,Su ropa es la mejor publicidad para su modista.
Tom glanced at his watch.,Tom ojeó su reloj.
The car is blue.,El auto es azul.
I gave her her dictionary back.,Le devolví su diccionario.
That boy watches over the sheep.,Ese chico cuida las ovejas.
My study is upstairs.,Mi estudio se encuentra en el segundo piso.
I'm late.,Llego tarde.
The moon has no atmosphere.,La Luna carece de atmósfera.
Tom is shouting at Mary.,Tom le está gritando a Mary.
May I wash all my laundry at once?,¿Puedo lavar toda mi ropa de una sola vez?
He can imitate the rest of the family.,Él puede imitar al resto de la familia.
Tom was shot twice in the chest.,A Tom le dispararon dos veces en el torso.
I stayed at his place yesterday.,Ayer me quedé donde él.
Wash your hands before eating.,Lávense las manos antes de comer.
Five plus two equals seven.,Cinco y dos son siete.
Where did you hide?,¿Dónde te escondiste?
All five rabbits were eaten by the hungry wolves.,Los cinco conejos fueron devorados por los lobos hambrientos.
I arrived at the village before dark.,Llegué al pueblo antes de que oscureciera.
"I went not once, but twice.","Fui no una vez, sino dos."
Now I realise why she was angry with me.,Ahora me doy cuenta de por qué ella estaba enojada conmigo.
Rest in peace.,Que descanse en paz.
Japan and South Korea are neighbors.,Japón y Corea del Sur son países limítrofes.
This is the pen that I lost yesterday.,Esta es la pluma que se me perdió ayer.
I'm only telling you what I heard.,Solo te digo lo que oí.
His father always comes home late.,Su padre siempre vuelve tarde a casa.
I have no time to explain this in detail.,No tengo tiempo para explicarlo en detalles.
I'm middle class.,Soy de clase media.
He lives in the western part of town.,Él vive en el distrito oeste de la ciudad.
I'm very worried about you.,Estoy muy preocupado por ti.
Can you copy this for me?,¿Puedes copiarlo por mí?
Say goodbye.,Decí adiós.
I can't help laughing at her.,No puedo dejar de reírme de ella.
Tom and Mary met at a party.,Tom y Mary se conocieron en una fiesta.
I live upstate.,Vivo en el norte.
Tom showed me a magic trick.,Tom me enseñó un truco de magia.
Girls are crazy.,Las chicas están locas.
I would like to give you a bicycle as a present for your birthday.,Querría regalarte una bicicleta por tu cumpleaños.
What kinds of goods do you sell in your shop?,¿Qué clase de mercaderías vendes en tu negocio?
This is all your fault.,Todo eso es culpa vuestra.
She wished to be beautiful.,Ella deseaba ser hermosa.
I think you're doing a great job.,Creo que estás haciendo un buen trabajo.
Tom saw Mary wink at John.,Tom vio a Mary guiñarle a John.
I wonder what's taking Tom so long.,Me pregunto que le está tomando a Tom tanto tiempo.
Tom went to church with Mary.,Tom fue a la iglesia con Mary.
My father is in good health.,Mi padre está sano.
That's a blue house.,Esa es una casa azul.
My socks are still damp.,Mis calcetas siguen húmedas.
What did you do last Christmas?,¿Qué hiciste para la última Navidad?
"If I had money, I'd buy a computer.","Si tuviera dinero, compraría un computador."
The meeting will end tomorrow.,La reunión terminará mañana.
We seem to have escaped from danger.,Parece que hemos escapado del peligro.
I have been associated with him for ten years.,Yo he estado asociado con él por diez años.
Even smart people sometimes do stupid things.,Incluso la gente inteligente hace estupideces de vez en cuando.
He had an unpleasant expression on his face.,Tenía mal gesto.
Can this news be true?,¿Puede ser cierta esta noticia?
Tom saw Mary on TV.,Tom vio a Mary en la televisión.
Don't confuse Austria with Australia.,No confundáis Austria con Australia.
You've got to fix it.,Tienes que arreglarlo.
What is your blood type?,¿Cuál es vuestro grupo sanguíneo?
We jog before breakfast every morning.,Hacemos footing todas las mañanas antes del desayuno.
This boy surpasses the rest of the class.,Este muchacho adelanta al resto de la clase.
"Not knowing what to do, I called her.","Al no saber qué hacer, la llamé."
The police were able to find the criminal.,La policía pudo encontrar al criminal.
What's that noise?,¿Qué es ese ruido?
Thank you for giving me something to eat. I was really hungry.,"Gracias por darme algo de comer, estaba muy hambriento."
She married a bank clerk.,Se casó con un empleado de banco.
It'll take some time to get used to wearing a wig.,Llevará un tiempo acostumbrarse a llevar una peluca.
My brother sent me a letter last week.,Mi hermano me envió una carta la semana pasada.
Tom felt trapped.,Tom se sintió atrapado.
Please sit here and wait.,"Por favor, siéntese aquí y espere."
You have to be honest.,Tienes que ser honrado.
Americans call foolish persons turkeys.,"Los americanos llaman ""pavos"" a las personas imprudentes."
We'll paint it.,Lo pintaremos.
She finished her errand and returned home.,Ella terminó el recado y volvió a casa.
I'm going to do this myself.,Voy a hacer esto yo misma.
I should probably just toss this in the trash.,Probablemente debería tirar esto a la basura.
We stayed in Hawaii over Christmas.,Pasamos la Navidad en Hawái.
I am disgusted with you.,Estoy indignado contigo.
How tall is that tower?,¿Cuál es la altura de aquella torre?
"By the way, have you done your homework?","Por cierto, ¿hiciste tu tarea?"
We'll go back to Boston next week.,Regresaremos a Boston la próxima semana.
Tom arrived at just the right time.,Tom llegó justo en el momento correcto.
He is going to tell me his story.,Va a contarme su historia.
Tom was silent for a long time.,Tom guardó silencio durante mucho tiempo.
Do I remind you of the one of the guys you left behind?,¿Te recuerdo a uno de los chicos que dejaste atrás?
He does not like cats.,No le gustan los gatos.
Tom has a nasty cut on his leg.,Tom tiene un corte feo en su pierna.
Do you know where Tom and Mary are?,¿Sabés dónde están Tom y Mary?
Tom tried to prevent Mary from going to the police.,Tom trató de impedir que Mary fuera a la Policía.
I want some milk.,Quiero un poco de leche.
He has two pencils. One is long and the other one is short.,Tiene dos lápices. Uno es largo y el otro corto.
What time's your flight?,¿A qué hora es tu vuelo?
I know absolutely nothing about that.,No sé absolutamente nada al respecto.
It's a problem.,Es un problema.
He's at church right now.,En este momento está en la iglesia.
Tom didn't know Mary was so funny.,Tom no sabía que Mary fuera tan entretenida.
Tom works from nine to five.,Tom trabaja desde las nueve hasta las cinco.
I never knew Tom's mother was Japanese.,Nunca supe que la madre de Tom era japonesa.
Tom bent down to pick up something off the floor.,Tom se agachó para recoger algo del suelo.
I want to know what happened to Tom.,Quiero saber qué le pasó a Tom.
Fish are cold-blooded animals.,Los peces son animales de sangre fría.
Why were you late?,¿Por qué llegaste tarde?
I guarantee I'll get you a job.,Te garantizo que te encontraré un trabajo.
I had a horrible day at work.,Tuve un día horrible en el trabajo.
Let's take a short cut.,Vamos a tomar un atajo.
I went to Australia in 2013.,Fui a Australia en dos mil trece.
He had difficulty in finding his way to the hotel.,Él tuvo dificultad para encontrar el camino hacia el hotel.
They pay well.,Ellos pagan bien.
I was the first to begin speaking.,Fui el primero en empezar a hablar.
I've just heard a disturbing rumor.,Acabo de oír un rumor inquietante.
What were they drinking?,¿Qué estaban bebiendo ellos?
"What I want now is not money, but time.",Lo que ahora quiero no es dinero sino tiempo.
Stay positive.,Sigue positiva.
"They paid us each 1,000 yen.",Nos pagaron 1.000 yenes a cada uno de nosotros.
They're clean.,Ellos están limpias.
I will go provided that the others go.,Iré siempre y cuando los demás vayan.
We will see whether he will recognize me or not.,Veremos si él me reconoce o no.
Everyone needs to do this.,Todos necesitan hacer esto.
Tom is asleep in his chair.,Tom está dormido en su suyo.
Don't bite the hand that feeds you.,No muerdas la mano que te alimenta.
"After the game, he went straight home to feed his dog.","Después del juego, él se fue derecho a su casa a alimentar a su perro."
He wants a new car.,Él quiere un coche nuevo.
What is the origin of the universe?,¿Cuál es el origen del universo?
I didn't think it would be that much.,No pensé que sería tanto.
The royal wedding was a magnificent occasion.,La boda real fue un evento magnífico.
Tom no longer lives with me.,Tom ya no vive más conmigo.
Have you ever visited the office where your father works?,¿Has visitado alguna vez la oficina en la que trabaja tu padre?
She's at the hotel now.,Ahora está en el hotel.
Tom likes cats.,A Tom le gustan los gatos.
"If you cut the tail off of a lizard, it will grow back.","Si a una lagartija le cortas la cola, le crece de nuevo."
We talked on the phone until midnight.,Hablamos por teléfono hasta la medianoche.
I've been very patient with you.,Tuve mucha paciencia con vos.
Tom was raised in an orphanage.,Tom creció en un orfanato.
I wonder how sausage is made.,Me pregunto como están hechos los embutidos.
"He loves her, but she doesn't like him.","Él la quiere, pero a ella no le gusta él."
I need to show you something.,Necesito mostrarte algo.
I don't want to waste time talking to Tom.,No quiero perder el tiempo hablando con Tom.
We have five classes every day except Saturday.,Tenemos cinco clases todos los días excepto el sábado.
Tom seems to be sick.,Tom parece estar enfermo.
She attempted to kill herself.,Ella intentó suicidarse.
The world is full of incompetent doctors.,El mundo está lleno de médicos incompetentes.
I got you a little something.,Te traje una cosita.
I am so devastated.,Estoy tan devastado.
"As usual, the physics teacher was late for class.","Como de costumbre, el profesor de física llegó tarde a clase."
The parrot is dead.,El perico está muerto.
Small cars are very economical because of their low fuel consumption.,Los autos pequeños son muy económicos debido a su bajo consumo de combustible.
I can't afford the time to travel.,No puedo sacar tiempo para viajar.
Tom appears to have vanished.,Tom parece haber desaparecido.
Please don't insult our intelligence.,Por favor no insulte a nuestra inteligencia.
Tom doesn't talk much.,Tom no habla mucho.
Tom and Mary are both present.,Tom y María están presentes.
Don't expose your skin to the sun for too long.,No expongas tu piel al sol por tanto tiempo.
Tom planned to visit Mary the first chance he got.,Tom planeaba visitar a Mary a la primera oportunidad que tuviera.
"For the peasant, fruits are more important than flowers.","Para el campesino, las frutas son más importantes que las flores."
I'll ask around.,Preguntaré por ahí.
I know it's true.,Sé que es verdad.
Her face betrayed her real feelings.,Su cara delataba sus sentimientos verdaderos.
Neither of them seemed old.,Ninguno de ellos lucía viejo.
Smoking is strictly forbidden.,Está estrictamente prohibido fumar.
Tom says he doesn't know where Mary bought her pearl necklace.,Tom dice que no sabe dónde Mary compró el collar de perlas.
My joints ache when it gets cold.,Me duelen las articulaciones cuando hace frío.
I made a bad mistake on the test.,Cometí un serio error en la prueba.
I think I'll go to bed.,Creo que me iré a la cama.
Tom stayed in Boston for three weeks.,Tom se quedó en Boston durante tres semanas.
I'm afraid I didn't explain it too well.,Temo que no lo explicara muy bien.
He is jealous of her talent.,Él está celoso de su talento.
Tom pretended not to know anything about Mary.,Tom fingía que no sabía nada de Mary.
I didn't drink that milk.,Yo no tomé esa leche.
They say that he will never return.,Se dice que él ya nunca volverá.
He failed to catch the 8:30 train.,Ha perdido el tren de las ocho y media.
Whose bicycle is this?,¿De quién es esta bicicleta?
Tom was here yesterday.,Tom estuvo aquí ayer.
Tom thought it would be fun to go visit John and Mary for the weekend.,Tom pensó que sería entretenido ir a visitar a John y a Mary por el fin de semana.
You disappointed me.,Me decepcionaste.
Please copy this.,"Por favor, copiad esto."
"There are several good protections against temptation, but the surest is cowardice.","Hay muy buenas protecciones contra la tentación, pero la más segura es la cobardía."
I've forgotten your number.,He olvidado tu número.
A passport is usually necessary when you travel overseas.,Un pasaporte es generalmente necesario cuando viajas al extranjero.
Did anyone hear the gun shot?,¿Alguien escuchó el tiro?
He will come tomorrow.,Él vendrá mañana.
I'd be honored.,Sería un honor para mí.
He flew into a rage.,Él montó en cólera.
You don't seem too surprised.,No pareces demasiado sorprendido.
How could this all happen?,¿Cómo pudo ocurrir todo esto?
I have a cold.,Estoy resfriado.
I saw her at the party.,La vi en la fiesta.
I wish to visit Egypt someday.,Me gustaría ir a Egipto algún día.
Do you want to sit next to the window?,¿Te querés sentar cerca de la ventana?
My bed is more comfortable than yours.,Mi cama es más cómoda que la tuya.
The group of clowns begin stumbling as they ran.,El grupo de payasos comenzó a tropezar mientras corrían.
It's going to pay off.,El esfuerzo se verá recompensado.
She'd like him to get in touch with her as soon as possible.,Ella quisiera que él se pusiera en contacto con ella tan pronto como sea posible.
I have a feeling that something dreadful is going to happen.,Tengo la sensación de que algo terrible va a pasar.
"Without honor, victory is hollow.","Sin honor, la victoria pierde sentido."
Tom died young.,Tom murió joven.
I want to send a message to my friend Tom.,Quiero mandarle un mensaje a mi amigo Tom.
It's not his style.,No es su estilo.
Do you know where she lives?,¿Sabes dónde vive?
"She was a child, but she wasn't afraid.","Era una niña, pero no estaba asustada."
You can't stop us.,No nos puedes parar.
I should go.,Me debería ir.
I'll do it my way this time.,Esta vez lo haré a mi manera.
What's the accusation against him?,¿Cuál es la acusación en su contra?
I'm losing my patience.,Estoy perdiendo la paciencia.
I learned a lot from Tom.,Aprendí mucho de Tom.
I assumed Tom understood what we were talking about.,Asumí que Tom entendía de qué estábamos hablando.
Tom told Mary that he had seen John in January.,Tom le dijo a Mary que él había visto a John en enero.
I don't blame him.,No lo culpo.
Wait for us here.,"Espera por nosotros, aquí."
Do you think animals have souls?,¿Piensa usted que los animales tienen alma?
The lawyer asked the judge to make allowance for the age of the accused.,El abogado le pidió al juez que sea indulgente por la edad del acusado.
We should remain here.,Deberíamos permanecer aquí.
You've got bags under your eyes.,Tienes ojeras.
I'm still single.,Todavía estoy soltero.
"She's not his sister, but his mother.","Ella no es su hermana, es su madre."
The students like it.,A los estudiantes les gusta.
Her beauty will fade in time.,Su belleza desaparecerá con el tiempo.
I know you're writing a book.,Sé que estás escribiendo un libro.
"When you say this, you sound just like father.","Cuando lo dices, suenas como papá."
Did you make it by yourself?,¿Lo has hecho tú solo?
He has learned to be patient.,Él ha aprendido a ser paciente.
Tom almost forgot his umbrella at the restaurant.,Tom casi olvida su paraguas en el restaurante.
None of my classmates live near here.,Ninguno de mis compañeros de clase vive cerca de aquí.
"This time, he got results.","Esta vez, él consiguió resultados."
Tom said he wanted to eat Chinese food.,Tom dijo que él quería comer comida china.
Only one man survived.,Solamente un hombre sobrevivió.
We shouldn't have come.,No deberíamos haber venido.
Tom had a problem with his car.,Tom tuvo un problema con su coche.
What a coincidence!,¡Qué coincidencia!
